"asv_id","System_derep"
"ASV_681","Stream"
"ASV_686","Stream"
"ASV_741","Stream"
"ASV_742","Stream"
"ASV_807","Stream"
"ASV_808","Stream"
"ASV_872","Stream"
"ASV_873","Stream"
"ASV_874","Stream"
"ASV_1","Lagoon"
"ASV_2","Lagoon"
"ASV_13","Lagoon"
"ASV_45","Lagoon"
"ASV_78","Lagoon"
"ASV_124","Lagoon"
"ASV_128","Lagoon"
"ASV_138","Lagoon"
"ASV_339","Lagoon"
"ASV_508","Lagoon"
"ASV_574","Lagoon"
"ASV_875","Lagoon"
"ASV_59","Lagoon"
"ASV_250","Lagoon"
"ASV_279","Lagoon"
"ASV_303","Lagoon"
"ASV_322","Lagoon"
"ASV_323","Lagoon"
"ASV_340","Lagoon"
"ASV_367","Lagoon"
"ASV_372","Lagoon"
"ASV_373","Lagoon"
"ASV_398","Lagoon"
"ASV_410","Lagoon"
"ASV_445","Lagoon"
"ASV_449","Lagoon"
"ASV_454","Lagoon"
"ASV_455","Lagoon"
"ASV_483","Lagoon"
"ASV_510","Lagoon"
"ASV_511","Lagoon"
"ASV_539","Lagoon"
"ASV_540","Lagoon"
"ASV_587","Lagoon"
"ASV_588","Lagoon"
"ASV_589","Lagoon"
"ASV_635","Lagoon"
"ASV_688","Lagoon"
"ASV_689","Lagoon"
"ASV_690","Lagoon"
"ASV_691","Lagoon"
"ASV_743","Lagoon"
"ASV_744","Lagoon"
"ASV_745","Lagoon"
"ASV_810","Lagoon"
"ASV_811","Lagoon"
"ASV_812","Lagoon"
"ASV_813","Lagoon"
"ASV_814","Lagoon"
"ASV_876","Lagoon"
"ASV_877","Lagoon"
"ASV_925","Lagoon"
"ASV_7","Lagoon"
"ASV_9","Lagoon"
"ASV_31","Lagoon"
"ASV_104","Lagoon"
"ASV_109","Lagoon"
"ASV_112","Lagoon"
"ASV_144","Lagoon"
"ASV_189","Lagoon"
"ASV_206","Lagoon"
"ASV_219","Lagoon"
"ASV_264","Lagoon"
"ASV_273","Lagoon"
"ASV_280","Lagoon"
"ASV_304","Lagoon"
"ASV_347","Lagoon"
"ASV_357","Lagoon"
"ASV_358","Lagoon"
"ASV_392","Lagoon"
"ASV_412","Lagoon"
"ASV_417","Lagoon"
"ASV_424","Lagoon"
"ASV_427","Lagoon"
"ASV_451","Lagoon"
"ASV_452","Lagoon"
"ASV_456","Lagoon"
"ASV_486","Lagoon"
"ASV_487","Lagoon"
"ASV_501","Lagoon"
"ASV_541","Lagoon"
"ASV_542","Lagoon"
"ASV_638","Lagoon"
"ASV_639","Lagoon"
"ASV_696","Lagoon"
"ASV_746","Lagoon"
"ASV_747","Lagoon"
"ASV_815","Lagoon"
"ASV_878","Lagoon"
"ASV_879","Lagoon"
"ASV_8","Lagoon"
"ASV_18","Lagoon"
"ASV_55","Lagoon"
"ASV_73","Lagoon"
"ASV_113","Lagoon"
"ASV_120","Lagoon"
"ASV_155","Lagoon"
"ASV_184","Lagoon"
"ASV_371","Lagoon"
"ASV_375","Lagoon"
"ASV_484","Lagoon"
"ASV_498","Lagoon"
"ASV_499","Lagoon"
"ASV_545","Lagoon"
"ASV_546","Lagoon"
"ASV_592","Lagoon"
"ASV_750","Lagoon"
"ASV_816","Lagoon"
"ASV_817","Lagoon"
"ASV_926","Lagoon"
